episode_id,symbol,outcome,OUTCOME_EVENT_DATE,EVENT_SESSION_OFFSET,fetch_status,bar_count,first_timestamp,last_timestamp,monotonic,duplicate_ts,ohlc_valid,max_gap_min,READY_0945,READY_1000,READY_1030,READY_1130,FULL_SESSION_COMPLETE,has_pm_session,has_close_session,INTRADAY_DAILY_MISMATCH,mismatch_detail,daily_high,minute_high,daily_close,minute_close,daily_s1_ok,data_source,5m_fetch_status,5m_has_data,5m_bar_count,5M_READY_0945,5M_READY_1000,5M_READY_1030,5M_READY_1130,5M_FULL_SESSION_COMPLETE
002038:20260629:558,002038,SUCCESS,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,6.5,,6.28,,True,NONE,OK,True,48,True,True,True,True,True
001270:20260626:13943,001270,FAILED_BREAKOUT,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,163.01,,159.0,,True,NONE,OK,True,48,True,True,True,True,True
002693:20260629:911,002693,SUCCESS,2026-07-02,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,10.67,,10.67,,True,NONE,OK,True,48,True,True,True,True,True
002915:20260629:2034,002915,SUCCESS,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,22.56,,22.02,,True,NONE,OK,True,48,True,True,True,True,True
600516:20260625:677,600516,FAILED_BREAKOUT,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,6.48,,6.08,,True,NONE,OK,True,48,True,True,True,True,True
000756:20260629:1359,000756,FAILED_BREAKOUT,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,15.0,,14.72,,True,NONE,OK,True,48,True,True,True,True,True
603477:20260629:1455,603477,FAILED_BREAKOUT,2026-07-01,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,15.77,,15.45,,True,NONE,OK,True,48,True,True,True,True,True
600488:20260629:484,600488,SUCCESS,2026-07-02,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,5.5,,5.37,,True,NONE,OK,True,48,True,True,True,True,True
002472:20260630:4151,002472,SUCCESS,2026-07-03,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,47.01,,47.01,,True,NONE,OK,True,48,True,True,True,True,True
603717:20260623:679,603717,SUCCESS,2026-07-03,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,7.33,,7.33,,True,NONE,OK,True,48,True,True,True,True,True
002615:20260630:690,002615,FAILED_BREAKOUT,2026-07-03,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,7.87,,7.78,,True,NONE,OK,True,48,True,True,True,True,True
001215:20260626:3917,001215,FAILED_BREAKOUT,2026-07-02,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,39.49,,39.02,,True,NONE,OK,True,48,True,True,True,True,True
601882:20260630:2023,601882,FAILED_BREAKOUT,2026-07-02,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,21.55,,20.76,,True,NONE,OK,True,48,True,True,True,True,True
600846:20260630:1000,600846,FAILED_BREAKOUT,2026-07-02,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,11.06,,10.77,,True,NONE,OK,True,48,True,True,True,True,True
603211:20260630:3551,603211,SUCCESS,2026-07-06,2.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,39.53,,39.53,,True,NONE,OK,True,48,True,True,True,True,True
603118:20260630:1211,603118,SUCCESS,2026-07-07,3.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,13.93,,13.51,,True,NONE,OK,True,48,True,True,True,True,True
002403:20260701:981,002403,FAILED_BREAKOUT,2026-07-03,1.0,OK,0,,,,,,,False,False,False,False,False,False,False,False,,10.77,,10.71,,True,NONE,OK,True,48,True,True,True,True,True
