episode_id,symbol,name,candidate_date,trade_date,anchor_date,candidate_state,selection_source,selection_reason,outcome,outcome_reason,data_cutoff,pit_valid,intraday_data_available,invalid_price,s1_price,b2_trigger_price,pattern_3d,setup_quality_score,entry_quality_score,data_quality,duplicate_check,same_anchor_sibling_count
600693:20240703:325,600693,东百集团,2024-07-08,2024-07-09,2024-07-03,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.88,3.4,,INVALID_BEFORE_S1,60.62,60.62,PARTIAL,1,1
603058:20240705:880,603058,,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,NO_LAUNCH,no S1 and no invalid touch within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,8.46,9.02,,NEITHER,69.44,69.44,PARTIAL,1,2
000890:20240705:270,000890,,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.59,3.02,,INVALID_BEFORE_S1,77.78,77.78,PARTIAL,1,0
001208:20240705:805,001208,华菱线缆,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,8.01,8.34,,INVALID_BEFORE_S1,73.83,43.75,PARTIAL,1,1
002995:20240705:1423,002995,天地在线,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,14.16,15.63,,INVALID_BEFORE_S1,83.95,83.95,PARTIAL,1,1
002853:20240705:876,002853,,2024-07-08,2024-07-10,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,8.11,9.62,,INVALID_BEFORE_S1,73.15,73.15,PARTIAL,1,0
000813:20240705:242,000813,,2024-07-08,2024-07-09,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,2.38,2.72,,INVALID_BEFORE_S1,87.65,87.65,PARTIAL,1,0
603991:20240705:3219,603991,,2024-07-09,2024-07-10,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,32.03,34.34,,INVALID_BEFORE_S1,80.25,75.87,PARTIAL,1,0
002420:20240705:531,002420,,2024-07-09,2024-07-10,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,5.01,5.63,,INVALID_BEFORE_S1,55.31,55.31,PARTIAL,1,1
003005:20240705:2451,003005,竞业达,2024-07-09,2024-07-10,2024-07-05,B1_READY,corrected-episodes 66d5943ffd4c83d8... + outcome-study execution-reality,frozen lifecycle candidate (B1_READY/B2_READY/B2_CONFIRMED) at D-1 close with valid invalid+S1 and >=3 future sessions; earliest candidate per anchor,STRUCTURE_FAIL,invalid first within 3 sessions,2026-07-31 (frozen snapshot snap-2026-07-31-b5f84004de8a),True,False,23.49,25.39,,INVALID_BEFORE_S1,66.67,66.67,PARTIAL,1,2
