episode_id,symbol,candidate_date,CHECKPOINT,volume_pace,abs_session_low,session_range,session_low_price,session_high_price
605300:20260625:943,605300,2026-06-26,1000,1.724528363,3.0753,5.8947,9.14,9.7
603297:20260624:13289,603297,2026-06-26,0945,0.7690538261,1.2719,4.0915,129.63,134.98
603297:20260624:13289,603297,2026-06-26,1000,0.8396318778,1.2719,4.0915,129.63,134.98
600539:20260626:1432,600539,2026-06-29,0945,0.6482168041,7.1229,11.0335,13.3,14.88
600539:20260626:1432,600539,2026-06-29,1000,0.7449219721,7.1229,11.0335,13.3,14.88
002518:20260625:5443,002518,2026-06-29,0945,0.4212669324,3.1827,3.1984,49.28,50.9
002518:20260625:5443,002518,2026-06-29,1000,0.5689712896,4.6562,4.6792,48.53,50.9
002497:20260624:2360,002497,2026-06-29,0945,1.4919966081,3.7019,4.6987,19.25,20.17
002497:20260624:2360,002497,2026-06-29,1000,2.1615202283,6.4532,7.5077,18.7,20.17
600118:20260626:7777,600118,2026-06-29,0945,3.7315662107,3.6518,4.5769,74.93,78.5
600118:20260626:7777,600118,2026-06-29,1000,2.9964845158,3.6518,4.5769,74.93,78.5
603063:20260625:5517,603063,2026-06-29,0945,0.4494469206,2.9214,4.736,50.51,52.95
603063:20260625:5517,603063,2026-06-29,1000,0.5093017373,3.1328,4.9495,50.4,52.95
603318:20260629:969,603318,2026-06-30,0945,0.6582134645,7.0175,6.2165,9.01,9.59
603318:20260629:969,603318,2026-06-30,1000,0.7506218358,7.4303,6.6452,8.97,9.59
002728:20260629:880,002728,2026-06-30,0945,4.7017334808,0.0,4.2458,8.8,9.18
002728:20260629:880,002728,2026-06-30,1000,1.877512108,0.0,4.2458,8.8,9.18
002370:20260629:537,002370,2026-06-30,0945,4.7331086601,1.1173,5.5556,5.31,5.61
002370:20260629:537,002370,2026-06-30,1000,2.6964206193,1.1173,5.5556,5.31,5.61
002038:20260629:558,002038,2026-06-30,0945,4.249428694,0.5376,5.9859,5.61,5.95
002038:20260629:558,002038,2026-06-30,1000,2.872534045,0.5376,5.9859,5.61,5.95
001270:20260626:13943,001270,2026-06-30,0945,0.5942974194,2.433,3.6065,149.58,155.17
001270:20260626:13943,001270,2026-06-30,1000,0.6625302407,2.433,3.6065,149.58,155.17
002693:20260629:911,002693,2026-06-30,0945,1.5376807579,1.0977,4.6563,9.01,9.43
002693:20260629:911,002693,2026-06-30,1000,1.4609401812,1.0977,4.6563,9.01,9.43
002915:20260629:2034,002915,2026-06-30,0945,0.6957867653,3.6382,4.25,19.6,20.45
002915:20260629:2034,002915,2026-06-30,1000,0.624340191,3.6382,4.25,19.6,20.45
600516:20260625:677,600516,2026-06-30,0945,1.3333017853,1.7153,7.2414,5.73,6.15
600516:20260625:677,600516,2026-06-30,1000,0.6952261259,1.7153,7.2414,5.73,6.15
000756:20260629:1359,000756,2026-06-30,0945,3.6317107204,0.9566,4.1605,13.46,14.02
000756:20260629:1359,000756,2026-06-30,1000,1.8339184784,0.9566,4.1605,13.46,14.02
002910:20260626:1227,002910,2026-06-30,0945,0.7669736776,2.1739,8.5145,10.8,11.74
002910:20260626:1227,002910,2026-06-30,1000,0.8493916326,2.1739,8.5145,10.8,11.74
603477:20260629:1455,603477,2026-06-30,0945,2.0959735475,2.1306,3.931,14.24,14.81
603477:20260629:1455,603477,2026-06-30,1000,1.8025792244,2.1306,4.8276,14.24,14.94
600488:20260629:484,600488,2026-07-01,0945,0.4250186996,2.6915,3.3126,4.7,4.86
600488:20260629:484,600488,2026-07-01,1000,0.4753415814,2.8986,3.5197,4.69,4.86
002472:20260630:4151,002472,2026-07-01,0945,2.7674291581,1.3009,3.8616,42.05,43.68
002472:20260630:4151,002472,2026-07-01,1000,2.1774093449,1.3009,3.8616,42.05,43.68
002805:20260630:2859,002805,2026-07-01,0945,1.1446923283,4.1623,4.8466,27.4,28.79
002805:20260630:2859,002805,2026-07-01,1000,1.418568681,4.1623,4.8466,27.4,28.79
603717:20260623:679,603717,2026-07-01,0945,2.1037033206,1.5544,5.059,5.88,6.18
603717:20260623:679,603717,2026-07-01,1000,2.5734240029,0.8636,7.5885,5.84,6.29
002615:20260630:690,002615,2026-07-01,0945,0.8398005074,2.8986,3.8737,6.7,6.97
002615:20260630:690,002615,2026-07-01,1000,0.9117223411,3.0435,4.1607,6.69,6.98
001215:20260626:3917,001215,2026-07-01,0945,0.9775262332,3.1707,4.4015,35.73,37.37
001215:20260626:3917,001215,2026-07-01,1000,1.0328270456,3.1707,4.4015,35.73,37.37
601882:20260630:2023,601882,2026-07-01,0945,2.9183151812,0.0,3.1707,20.23,20.88
601882:20260630:2023,601882,2026-07-01,1000,2.6710867472,0.0,3.1707,20.23,20.88
600846:20260630:1000,600846,2026-07-01,0945,3.3859986838,0.0,5.5,10.0,10.55
