feature,group,success_n,control_n,success_median,success_p25,success_p75,control_median,control_p25,control_p75,median_diff,rank_biserial,boot_ci_lo,boot_ci_hi
close_d1,ALL_CONTROL,409,8095,12.0,7.67,21.93,11.89,6.635,21.1,0.11,-0.0379,-1.2153,1.9977
close_d2,FAILED_BREAKOUT,409,950,11.92,7.58,22.18,12.345,6.8325,22.99,-0.425,0.0206,-1.9552,1.0805
close_d2,NO_LAUNCH,409,1730,11.92,7.58,22.18,11.595,6.445,20.065,0.325,-0.0435,-0.9053,2.0731
close_d2,STRUCTURE_FAIL,409,5415,11.92,7.58,22.18,11.25,6.31,20.02,0.67,-0.055,-0.5152,1.9252
close_d2,ALL_CONTROL,409,8095,11.92,7.58,22.18,11.44,6.4,20.27,0.48,-0.0436,-0.77,1.892
low_progression_3d_pct,FAILED_BREAKOUT,409,950,6.5817,2.8773,9.3204,7.7878,4.0903,10.4458,-1.2061,0.1336,-1.8849,-0.6315
low_progression_3d_pct,NO_LAUNCH,409,1730,6.5817,2.8773,9.3204,6.5057,1.515,9.3758,0.076,-0.0336,-0.6166,0.567
low_progression_3d_pct,STRUCTURE_FAIL,409,5415,6.5817,2.8773,9.3204,6.6964,2.9707,9.713,-0.1147,0.0237,-0.7155,0.2997
low_progression_3d_pct,ALL_CONTROL,409,8095,6.5817,2.8773,9.3204,6.7864,2.8093,9.7561,-0.2047,0.0244,-0.79,0.1936
close_progression_3d_pct,FAILED_BREAKOUT,409,950,0.9484,-3.2051,10.4923,6.7736,-1.6305,11.782,-5.8252,0.1426,-7.4952,-2.5148
close_progression_3d_pct,NO_LAUNCH,409,1730,0.9484,-3.2051,10.4923,2.3442,-4.2052,9.4118,-1.3958,-0.0504,-3.2319,2.27
close_progression_3d_pct,STRUCTURE_FAIL,409,5415,0.9484,-3.2051,10.4923,3.0683,-3.3557,10.8934,-2.1199,0.025,-3.7672,0.8503
close_progression_3d_pct,ALL_CONTROL,409,8095,0.9484,-3.2051,10.4923,3.3493,-3.3573,10.8261,-2.4009,0.0227,-4.0066,0.6588
mid_progression_3d_pct,FAILED_BREAKOUT,409,950,3.4974,-0.6096,9.3193,6.9489,0.8492,10.9694,-3.4516,0.1493,-5.061,-1.5735
mid_progression_3d_pct,NO_LAUNCH,409,1730,3.4974,-0.6096,9.3193,3.7544,-1.9524,9.6777,-0.257,-0.0268,-2.3895,1.7607
mid_progression_3d_pct,STRUCTURE_FAIL,409,5415,3.4974,-0.6096,9.3193,4.8113,-0.5388,10.6489,-1.3139,0.0555,-2.8002,0.2186
mid_progression_3d_pct,ALL_CONTROL,409,8095,3.4974,-0.6096,9.3193,5.0812,-0.6274,10.5442,-1.5838,0.0489,-3.0444,-0.0497
close_vs_ma5_pct,FAILED_BREAKOUT,409,950,3.4615,1.2031,6.304,4.4671,2.0154,6.8109,-1.0056,0.1155,-1.6466,-0.5194
close_vs_ma5_pct,NO_LAUNCH,409,1730,3.4615,1.2031,6.304,3.0107,-0.1985,5.5673,0.4508,-0.0957,-0.1758,0.8767
close_vs_ma5_pct,STRUCTURE_FAIL,409,5415,3.4615,1.2031,6.304,3.5682,0.9395,6.2706,-0.1067,-0.0071,-0.6874,0.2623
close_vs_ma5_pct,ALL_CONTROL,409,8095,3.4615,1.2031,6.304,3.5054,0.9165,6.2157,-0.0439,-0.0116,-0.6343,0.3101
