setup_id,code,anchor_date,anchor_price,anchor_source,profile,limit_price,is_first_board,recent_limit_count,recent_limits_non_consecutive,seal_before_cutoff,snapshot_id,strategy_commit,strategy_config_hash
603977:20240108:1100,603977,2024-01-08,11.00,PRICE_ONLY,PRICE_ONLY,11.00,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605287:20240108:1870,605287,2024-01-08,18.70,PRICE_ONLY,PRICE_ONLY,18.70,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605303:20240108:1362,605303,2024-01-08,13.62,PRICE_ONLY,PRICE_ONLY,13.62,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605378:20240108:2993,605378,2024-01-08,29.93,PRICE_ONLY,PRICE_ONLY,29.93,True,2,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
605488:20240108:1814,605488,2024-01-08,18.14,PRICE_ONLY,PRICE_ONLY,18.14,True,2,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000017:20240109:492,000017,2024-01-09,4.92,PRICE_ONLY,PRICE_ONLY,4.92,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
000679:20240109:661,000679,2024-01-09,6.61,PRICE_ONLY,PRICE_ONLY,6.61,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
001368:20240109:2842,001368,2024-01-09,28.42,PRICE_ONLY,PRICE_ONLY,28.42,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002058:20240109:1404,002058,2024-01-09,14.04,PRICE_ONLY,PRICE_ONLY,14.04,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002523:20240109:309,002523,2024-01-09,3.09,PRICE_ONLY,PRICE_ONLY,3.09,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002527:20240109:1008,002527,2024-01-09,10.08,PRICE_ONLY,PRICE_ONLY,10.08,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002611:20240109:526,002611,2024-01-09,5.26,PRICE_ONLY,PRICE_ONLY,5.26,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002641:20240109:537,002641,2024-01-09,5.37,PRICE_ONLY,PRICE_ONLY,5.37,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002877:20240109:1110,002877,2024-01-09,11.10,PRICE_ONLY,PRICE_ONLY,11.10,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002887:20240109:959,002887,2024-01-09,9.59,PRICE_ONLY,PRICE_ONLY,9.59,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002903:20240109:2424,002903,2024-01-09,24.24,PRICE_ONLY,PRICE_ONLY,24.24,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
002931:20240109:1459,002931,2024-01-09,14.59,PRICE_ONLY,PRICE_ONLY,14.59,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600319:20240109:604,600319,2024-01-09,6.04,PRICE_ONLY,PRICE_ONLY,6.04,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600506:20240109:1565,600506,2024-01-09,15.65,PRICE_ONLY,PRICE_ONLY,15.65,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600615:20240109:1295,600615,2024-01-09,12.95,PRICE_ONLY,PRICE_ONLY,12.95,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600630:20240109:1393,600630,2024-01-09,13.93,PRICE_ONLY,PRICE_ONLY,13.93,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
600697:20240109:1554,600697,2024-01-09,15.54,PRICE_ONLY,PRICE_ONLY,15.54,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
601188:20240109:492,601188,2024-01-09,4.92,PRICE_ONLY,PRICE_ONLY,4.92,True,2,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
603015:20240109:1027,603015,2024-01-09,10.27,PRICE_ONLY,PRICE_ONLY,10.27,True,1,True,,snap-2026-07-31-d34171a7e7ae,315fbe0d6a41cbcbb17166c03c134e010f163084,47a0ea2b41952f06f43d1fe3a5e066993bade6ecec45c81103022008c7eae6bf
