feature,CHECKPOINT,group,rank_biserial,boot_ci_lo,boot_ci_hi,median_diff
pct_bars_above_vwap_since_low,1000,FAILED_BREAKOUT,0.0003,-20.835,21.7482,0.0
pct_bars_above_vwap_since_low,1000,STRUCTURE_FAIL,0.0015,-30.0,26.67,10.0
vwap_rebreak_count_after_low,1000,FAILED_BREAKOUT,-0.0351,-1.0,1.0,0.0
vwap_rebreak_count_after_low,1000,STRUCTURE_FAIL,-0.1059,0.0,1.0,0.0
vwap_reclaim_count_after_low,1000,FAILED_BREAKOUT,0.0119,-1.0,1.0,0.5
vwap_reclaim_count_after_low,1000,STRUCTURE_FAIL,-0.098,-1.0,1.0,0.5
closest_high_to_s1_pct_so_far,1000,FAILED_BREAKOUT,0.0082,-1.7592,1.9604,0.3479
closest_high_to_s1_pct_so_far,1000,STRUCTURE_FAIL,-0.3235,0.3295,5.1156,2.7433
number_of_intraday_local_highs,1000,FAILED_BREAKOUT,0.0322,-1.0,1.0,0.0
number_of_intraday_local_highs,1000,STRUCTURE_FAIL,0.1211,-1.0,1.0,0.0
local_high_progression_pct,1000,FAILED_BREAKOUT,-0.0441,-0.4361,1.2983,0.1129
local_high_progression_pct,1000,STRUCTURE_FAIL,0.1912,-1.675,-0.1364,-1.1829
high_progression_pct,1000,FAILED_BREAKOUT,-0.0441,-0.4361,1.2983,0.1129
high_progression_pct,1000,STRUCTURE_FAIL,0.1912,-1.675,-0.1364,-1.1829
probe_v01_compat,1000,FAILED_BREAKOUT,0.0,0.0,0.0,0.0
probe_v01_compat,1000,STRUCTURE_FAIL,0.0,0.0,0.0,0.0
continuous_s1_approach,1000,FAILED_BREAKOUT,0.0082,-1.7592,1.9604,0.3479
continuous_s1_approach,1000,STRUCTURE_FAIL,-0.3235,0.3295,5.1156,2.7433
cum_volume,1000,FAILED_BREAKOUT,-0.0995,-3272247.025,17182270.5625,6892964.5
cum_volume,1000,STRUCTURE_FAIL,-0.051,-5525671.875,11740283.0,2874264.5
cum_volume_vs_D1_ratio,1000,FAILED_BREAKOUT,0.2853,-0.1836,0.0029,-0.0897
cum_volume_vs_D1_ratio,1000,STRUCTURE_FAIL,0.398,-0.35,-0.0406,-0.1508
cum_volume_vs_anchor_ratio,1000,FAILED_BREAKOUT,0.2536,-0.1957,0.0192,-0.0629
cum_volume_vs_anchor_ratio,1000,STRUCTURE_FAIL,0.326,-0.4147,-0.0254,-0.1545
volume_since_session_low,1000,FAILED_BREAKOUT,-0.0861,-2363065.6,12411572.7875,3176129.5
volume_since_session_low,1000,STRUCTURE_FAIL,-0.101,-3277983.5,11511989.5,2362079.5
volume_on_recovery,1000,FAILED_BREAKOUT,0.0656,-7014912.9,9867320.275,2508756.5
volume_on_recovery,1000,STRUCTURE_FAIL,-0.0037,-5717222.575,10711963.075,2828488.0
return_from_open_pct,1000,FAILED_BREAKOUT,-0.0418,-0.9284,1.4905,0.221
return_from_open_pct,1000,STRUCTURE_FAIL,0.0824,-1.7967,0.5038,-0.6978
return_from_prev_close_pct,1000,FAILED_BREAKOUT,-0.124,-0.6476,2.0798,0.8559
return_from_prev_close_pct,1000,STRUCTURE_FAIL,-0.0941,-1.4086,2.4437,-0.0661
session_range_pct,1000,FAILED_BREAKOUT,0.2418,-1.0913,-0.0315,-0.5797
