feature,group,episode_id,symbol,name,candidate_date,anchor_date,outcome,CHECKPOINT,support,s1,invalid,checkpoint_price,session_low,session_high,vwap,feature_value
D1_upper_shadow_pct,NO_LAUNCH,605111:20260630:9914,605111,新洁能,2026-07-03,2026-06-30,NO_LAUNCH,1130,73.97428513657866625972836878,91.44,73.6,83.65,80.35,84.77,82.43765444061755,2.2504
D1_upper_shadow_pct,NO_LAUNCH,603477:20260706:1673,603477,,2026-07-08,2026-07-06,NO_LAUNCH,1130,14.45397734627831715210355987,17.43,14.28,15.85,15.83,16.79,16.10744565703314,3.1361
D1_upper_shadow_pct,STRUCTURE_FAIL,601369:20260528:961,601369,陕鼓动力,2026-05-29,2026-05-28,STRUCTURE_FAIL,1130,9.5350,10.28,9.41,9.79,9.61,10.07,9.840761222806364,0.0
D1_upper_shadow_pct,STRUCTURE_FAIL,603318:20260623:1169,603318,水发燃气,2026-06-25,2026-06-23,STRUCTURE_FAIL,1130,8.908184674430765383260012054,10.99,8.86,9.49,9.47,10.0,9.575072179062769,0.0
D1_upper_shadow_pct,STRUCTURE_FAIL,002842:20260702:5017,002842,,2026-07-06,2026-07-02,STRUCTURE_FAIL,1130,34.81318419624110904272474625,52.49,34.64,41.31,40.65,45.3,42.87194072906173,0.0
D1_upper_shadow_pct,STRUCTURE_FAIL,603315:20260727:1203,603315,福鞍股份,2026-07-28,2026-07-27,STRUCTURE_FAIL,1130,11.92349814677538917716827280,15.54,11.76,12.04,11.96,12.55,12.266053664443854,0.0
D1_upper_shadow_pct,STRUCTURE_FAIL,002963:20260608:1774,002963,豪尔赛,2026-06-09,2026-06-08,STRUCTURE_FAIL,1130,17.76549999999999999999999999,21.28,17.65,17.55,17.42,18.45,18.01595620755142,0.0
D1_upper_shadow_pct,STRUCTURE_FAIL,603020:20260609:1164,603020,,2026-06-10,2026-06-09,STRUCTURE_FAIL,1130,11.64,12.69,11.58,12.08,11.52,12.14,11.968110174798586,0.0
D1_upper_shadow_pct,STRUCTURE_FAIL,603070:20260605:1673,603070,,2026-06-09,2026-06-05,STRUCTURE_FAIL,1130,16.18451766074450084602368866,17.22,16.04,16.3,16.17,16.82,16.481359137216796,0.0589
D1_upper_shadow_pct,STRUCTURE_FAIL,603065:20260707:2025,603065,宿迁联盛,2026-07-27,2026-07-07,STRUCTURE_FAIL,1130,13.68122204472843450479233227,22.11,13.53,14.82,13.42,15.16,14.327141271000638,1.1278
D1_upper_shadow_pct,STRUCTURE_FAIL,002472:20260703:4701,002472,,2026-07-08,2026-07-03,STRUCTURE_FAIL,1130,41.5708113640123850717341464,45.98,41.17,43.0,41.77,44.97,42.6218530538513,2.4984
D1_upper_shadow_pct,STRUCTURE_FAIL,002693:20260702:1067,002693,,2026-07-06,2026-07-02,STRUCTURE_FAIL,1130,10.03400000000000000000000000,11.27,9.98,10.37,9.86,11.0,10.388655658137766,7.2312
session_range_pct,SUCCESS,002734:20260616:1639,002734,,2026-06-17,2026-06-16,SUCCESS,1130,16.46360329193770944214468757,17.22,16.31,16.46,16.08,16.68,16.381903158376943,3.6276
session_range_pct,SUCCESS,600058:20260622:1131,600058,,2026-06-24,2026-06-22,SUCCESS,1130,10.61750000000000000000000000,11.45,10.49,10.71,10.6,10.94,10.758683113051253,3.1481
session_range_pct,SUCCESS,003030:20260601:2574,003030,祖名股份,2026-06-09,2026-06-01,SUCCESS,1130,19.73863313673557196394147069,22.42,19.64,21.0,20.92,21.8,21.252115904734048,4.1373
session_range_pct,SUCCESS,002607:20260701:198,002607,中公教育,2026-07-03,2026-07-01,SUCCESS,1130,1.879000000000000000000000000,2.12,1.87,1.86,1.86,2.0,1.9208155582950945,7.2165
session_range_pct,SUCCESS,605111:20260609:6199,605111,新洁能,2026-06-11,2026-06-09,SUCCESS,1130,54.61566666666666666666666671,66.8,54.34,57.79,57.73,60.52,59.03444101177858,4.7385
session_range_pct,SUCCESS,002728:20260629:880,002728,,2026-06-30,2026-06-29,SUCCESS,1130,8.74338223557893730774922753,9.56,8.62,9.0,8.8,9.18,9.026151645482605,4.2458
session_range_pct,SUCCESS,002106:20260615:1338,002106,,2026-06-16,2026-06-15,SUCCESS,1130,13.38,14.06,13.31,13.54,13.1,13.72,13.426165890470575,4.6442
session_range_pct,SUCCESS,603717:20260623:679,603717,,2026-07-01,2026-06-23,SUCCESS,1130,5.999999999999999999999999999,6.91,5.97,6.26,5.84,6.33,6.11285734154668,8.2631
session_range_pct,SUCCESS,603588:20260622:1761,603588,,2026-06-24,2026-06-22,SUCCESS,1130,17.61,19.37,17.52,18.45,17.87,18.93,18.41304469149295,5.8338
session_range_pct,SUCCESS,002830:20260612:1676,002830,,2026-06-18,2026-06-12,SUCCESS,1130,13.63548472472707813898652815,15.98,13.57,14.25,13.58,14.84,14.157965966184644,8.6007
session_range_pct,FAILED_BREAKOUT,603519:20260612:1364,603519,,2026-06-15,2026-06-12,FAILED_BREAKOUT,1130,13.6700,14.84,13.57,13.87,13.26,13.96,13.661732314957238,5.1471
session_range_pct,FAILED_BREAKOUT,601882:20260630:2023,601882,,2026-07-01,2026-06-30,FAILED_BREAKOUT,1130,19.96974999999999999999999998,21.35,19.71,20.35,20.1,20.88,20.438184808278947,3.8049
session_range_pct,FAILED_BREAKOUT,603127:20260618:3566,603127,昭衍新药,2026-06-22,2026-06-18,FAILED_BREAKOUT,1130,35.75362321399905545916652513,37.95,35.46,35.15,34.13,35.79,34.73261783102483,4.7388
session_range_pct,FAILED_BREAKOUT,002403:20260701:981,002403,,2026-07-02,2026-07-01,FAILED_BREAKOUT,1130,10.05699999999999999999999999,10.66,10.01,10.02,9.62,10.08,9.853161306191122,4.5954
session_range_pct,FAILED_BREAKOUT,600497:20260612:928,600497,驰宏锌锗,2026-06-16,2026-06-12,FAILED_BREAKOUT,1130,9.653660377358490566037735849,10.72,9.61,10.25,9.88,10.31,10.13396776175286,4.3216
session_range_pct,FAILED_BREAKOUT,002497:20260624:2360,002497,,2026-06-29,2026-06-24,FAILED_BREAKOUT,1130,19.30347051542195480888036077,22.3,19.21,19.45,18.7,20.17,19.312719662229387,7.5077
session_range_pct,FAILED_BREAKOUT,002428:20260611:8824,002428,,2026-06-12,2026-06-11,FAILED_BREAKOUT,1130,87.21244444444444444444444443,95.55,86.23,91.87,87.0,92.79,90.49848291786212,6.4693
session_range_pct,FAILED_BREAKOUT,600026:20260617:1969,600026,,2026-06-22,2026-06-17,FAILED_BREAKOUT,1130,20.38690859943880854737750919,21.8,20.28,20.48,18.55,20.63,19.7767282338094,10.8616
session_range_pct,FAILED_BREAKOUT,600516:20260625:677,600516,,2026-06-30,2026-06-25,FAILED_BREAKOUT,1130,5.936864503224983613843755855,6.33,5.89,6.03,5.73,6.2,5.986837791742156,8.1034
session_range_pct,FAILED_BREAKOUT,600539:20260626:1432,600539,狮头股份,2026-06-29,2026-06-26,FAILED_BREAKOUT,1130,14.93450000000000000000000000,15.95,14.77,13.85,13.3,14.88,14.21706115959369,11.0335
session_range_pct,NO_LAUNCH,002403:20260706:1178,002403,,2026-07-27,2026-07-06,NO_LAUNCH,1130,7.995721768707482993197278905,10.23,7.96,8.05,7.81,8.12,8.010037339959064,3.939
session_range_pct,NO_LAUNCH,603661:20260708:4267,603661,,2026-07-28,2026-07-08,NO_LAUNCH,1130,26.13969217248652449027419733,30.24,25.84,27.66,27.36,28.1,27.699625212136766,2.6909
session_range_pct,NO_LAUNCH,002174:20260727:1134,002174,游族网络,2026-07-28,2026-07-27,NO_LAUNCH,1130,10.81432495812395309882747069,11.9,10.7,11.22,11.12,11.5,11.335212645652716,3.3808
session_range_pct,NO_LAUNCH,002903:20260630:4542,002903,宇环数控,2026-07-02,2026-06-30,NO_LAUNCH,1130,34.45930040067915750975860264,47.5,34.29,43.54,42.0,44.35,43.17310174701874,5.4323
