baseline_id,baseline_role,factor_name,factor_family,factor_role,sample_scope,baseline_group,target,eligible_group_n,factor_nonmissing_n,outcome_known_n,success_n,non_success_n,native_auc,native_direction,r3_direction,direction_match,effect,identifiability_status,missing_reason
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.42028329993990454,NEGATIVE,NEGATIVE,True,0.07971670006009546,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.4101128685773529,NEGATIVE,NEGATIVE,True,0.08988713142264709,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,2136,1980,1955,89,1866,0.4004118645904838,NEGATIVE,NEGATIVE,True,0.09958813540951622,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,2136,1980,1955,111,1844,0.38686951593676105,NEGATIVE,NEGATIVE,True,0.11313048406323895,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.42028329993990454,NEGATIVE,NEGATIVE,True,0.07971670006009546,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.4101128685773529,NEGATIVE,NEGATIVE,True,0.08988713142264709,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,2136,1979,1954,89,1865,0.45730638310690724,NEGATIVE,NEGATIVE,True,0.042693616893092756,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,2136,1979,1954,111,1843,0.4335665019332952,NEGATIVE,NEGATIVE,True,0.06643349806670479,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.3848676311586736,NEGATIVE,NEGATIVE,True,0.11513236884132638,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.3896788456807479,NEGATIVE,NEGATIVE,True,0.1103211543192521,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_3d,2136,1979,1954,89,1865,0.45730638310690724,NEGATIVE,NEGATIVE,True,0.042693616893092756,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,NON_SIGNAL,outcome_5d,2136,1979,1954,111,1843,0.4335665019332952,NEGATIVE,NEGATIVE,True,0.06643349806670479,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_3d,6485,6050,5883,281,5602,0.3848676311586736,NEGATIVE,NEGATIVE,True,0.11513236884132638,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,OWN,SIGNAL,outcome_5d,6485,6050,5880,328,5552,0.3896788456807479,NEGATIVE,NEGATIVE,True,0.1103211543192521,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_3d,2136,1979,1954,89,1865,0.4664517878121517,NEGATIVE,NEGATIVE,True,0.033548212187848314,IDENTIFIABLE,
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,COMMON,NON_SIGNAL,outcome_5d,2136,1979,1954,111,1843,0.44165652358815677,NEGATIVE,NEGATIVE,True,0.05834347641184323,IDENTIFIABLE,
