episode_id,outcome,CHECKPOINT,quiet_score
601369:20260626:905,FAILED_BREAKOUT,1000,0.579125
002051:20260727:905,STRUCTURE_FAIL,1000,0.457912
603988:20260727:1804,SUCCESS,1000,0.427609
603661:20260708:4267,NO_LAUNCH,1000,0.824916
603315:20260727:1203,STRUCTURE_FAIL,1000,0.511785
603955:20260727:1862,FAILED_BREAKOUT,1000,0.481481
002292:20260727:776,FAILED_BREAKOUT,1000,0.545455
002490:20260708:697,STRUCTURE_FAIL,1000,0.572391
002910:20260708:1287,NO_LAUNCH,1000,0.787879
002174:20260727:1134,NO_LAUNCH,1000,0.734007
003030:20260727:2261,STRUCTURE_FAIL,1000,0.565657
603630:20260727:1443,FAILED_BREAKOUT,1000,0.659933
600667:20260727:1792,STRUCTURE_FAIL,1000,0.350168
