episode_id,symbol,candidate_date,outcome,CHECKPOINT,A_D0cum_vs_D1full,B_D0cum_vs_anchorfull,C_D0cum,D_D1full,E_anchorfull,D0cum_vs_median5,D1full_vs_median5,F_D0cum_vs_D1_sametime,D1_sametime_available
601872:20260622:1885,601872,2026-06-23,FAILED_BREAKOUT,0945,0.2766,0.2766,58089702.0,210019488.0,210019488.0,0.2850128503724512,1.0304451709640863,0.27659196083746285,True
000833:20260622:2413,000833,2026-06-23,STRUCTURE_FAIL,0945,0.3729,0.3729,26401142.0,70801294.0,70801294.0,0.5596310359558198,1.5007911971471752,0.37289435735525045,True
002885:20260622:4687,002885,2026-06-23,STRUCTURE_FAIL,0945,0.1875,0.1875,9324421.0,49723243.0,49723243.0,0.38715403355474104,2.0645307723527866,0.1876437689555872,True
002392:20260618:881,002392,2026-06-23,FAILED_BREAKOUT,0945,0.2017,0.4568,16455569.0,81598889.0,36022102.0,0.5618958334756093,2.786295371818424,0.20166734338192271,True
603629:20260622:19424,603629,2026-06-23,UNKNOWN,0945,0.3009,0.3009,10736320.0,35677267.0,35677267.0,0.32508302299064196,1.0802652872124034,0.30092888000641976,True
002601:20260622:1703,002601,2026-06-23,FAILED_BREAKOUT,0945,0.2346,0.2346,24850026.0,105913206.0,105913206.0,0.424628829082188,1.8098089977097236,0.23462632223596366,True
002440:20260622:1099,002440,2026-06-23,FAILED_BREAKOUT,0945,0.5068,0.5068,35020881.0,69096141.0,69096141.0,0.3973828515435212,0.7840357168979618,0.5068435252317857,True
600488:20260623:497,600488,2026-06-24,STRUCTURE_FAIL,0945,0.3536,0.3536,52080150.0,147288287.0,147288287.0,0.7886890623225814,2.230497818557152,0.35359329014397456,True
600531:20260622:1481,600531,2026-06-24,SUCCESS,0945,0.2529,0.4321,40801711.0,161321362.0,94430784.0,0.4987899289196701,1.9721102059961253,0.2529219347900125,True
002728:20260623:882,002728,2026-06-24,STRUCTURE_FAIL,0945,1.1664,1.1664,17520053.0,15021007.0,15021007.0,2.5864590714758124,2.2175286694538925,1.1667584465031215,True
000756:20260623:1344,000756,2026-06-24,STRUCTURE_FAIL,0945,2.6735,2.6735,28365961.0,10610060.0,10610060.0,5.501800122581346,2.057904169317424,2.6752113029389073,True
600708:20260623:329,600708,2026-06-24,SUCCESS,0945,0.2979,0.2979,13794633.0,46313439.0,46313439.0,0.3664197232183818,1.2301999987728132,0.29785378278646074,True
603661:20260622:3573,603661,2026-06-24,FAILED_BREAKOUT,0945,0.1701,0.1918,1480400.0,8704283.0,7718263.0,0.20635628659046557,1.2133095901867856,0.17007719073472222,True
002963:20260622:2144,002963,2026-06-24,FAILED_BREAKOUT,0945,0.2467,0.7101,4951100.0,20072600.0,6972300.0,0.5819876634272633,2.359476797663163,0.24674198515890142,True
603630:20260623:1425,603630,2026-06-24,STRUCTURE_FAIL,0945,0.4099,0.4099,3058495.0,7462259.0,7462259.0,0.8777176720427021,2.141496584973885,0.4098618126226924,True
001206:20260623:1854,001206,2026-06-24,FAILED_BREAKOUT,0945,0.7266,0.7266,4851192.0,6676304.0,6676304.0,1.0561130655891882,1.4534431711310043,0.7271184824973875,True
603588:20260622:1761,603588,2026-06-24,SUCCESS,0945,0.1755,0.349,39736694.0,226394378.0,113869848.0,0.46960825197053924,2.6755287721856655,0.17551979139694007,True
002549:20260623:1867,002549,2026-06-24,FAILED_BREAKOUT,0945,0.8153,0.8153,46336902.0,56831411.0,56831411.0,1.1092536878388295,1.360480513713114,0.8155950868885978,True
600058:20260622:1131,600058,2026-06-24,SUCCESS,0945,0.1341,0.2241,4013300.0,29933410.0,17904558.0,0.20869528138476362,1.5565647778026805,0.13407426684764615,True
002910:20260622:1282,002910,2026-06-24,STRUCTURE_FAIL,0945,0.1314,0.1217,4830700.0,36758745.0,39698420.0,0.13141634732088922,1.0,0.13145962032724348,True
600234:20260622:3034,600234,2026-06-24,FAILED_BREAKOUT,0945,0.112,0.1265,671000.0,5991610.0,5303735.0,0.1524549564901279,1.361327335105537,0.11198993258907039,True
